rating_id,rating,rating_description
1,6.6,Food was pretty good but service was slow
2,7.5,Service was really good and the food was okay
3,1.4,This place sucks!
4,3.4,The food was really bad
5,4.3,The food was bland and the servers were unfriendly
6,2.6,Service was exceedingly poor
7,1.8,This place sucks!
8,6.5,Food was pretty good but service was slow
9,6.8,Food was pretty good but service was slow
10,7.3,Service was really good and the food was okay
11,9.7,I love this restaurant!
12,2.8,Service was exceedingly poor
13,3.1,The food was really bad
14,0.4,This is the worst restaurant I've ever been to
15,3.9,The food was really bad
16,7.9,Service was really good and the food was okay
17,1.0,This place sucks!
18,5.0,It was just okay
19,7.9,Service was really good and the food was okay
20,1.1,This place sucks!
21,2.9,Service was exceedingly poor
22,5.5,It was just okay
23,7.8,Service was really good and the food was okay
24,7.7,Service was really good and the food was okay
25,9.9,I love this restaurant!
26,6.2,Food was pretty good but service was slow
27,7.8,Service was really good and the food was okay
28,5.0,It was just okay
29,6.1,Food was pretty good but service was slow
30,0.7,This is the worst restaurant I've ever been to
31,3.3,The food was really bad
32,0.1,This is the worst restaurant I've ever been to
33,9.6,I love this restaurant!
34,4.3,The food was bland and the servers were unfriendly
35,4.8,The food was bland and the servers were unfriendly
36,8.2,Food and service were great!
37,7.9,Service was really good and the food was okay
38,2.5,Service was exceedingly poor
39,5.2,It was just okay
40,5.0,It was just okay
41,8.6,Food and service were great!
42,2.7,Service was exceedingly poor
43,3.0,The food was really bad
44,5.5,It was just okay
45,6.4,Food was pretty good but service was slow
46,3.1,The food was really bad
47,2.4,Service was exceedingly poor
48,3.0,The food was really bad
49,3.5,The food was really bad
50,2.1,Service was exceedingly poor
51,7.8,Service was really good and the food was okay
52,1.1,This place sucks!
53,1.3,This place sucks!
54,1.3,This place sucks!
55,5.7,It was just okay
56,3.8,The food was really bad
57,7.9,Service was really good and the food was okay
58,6.8,Food was pretty good but service was slow
59,2.6,Service was exceedingly poor
60,4.1,The food was bland and the servers were unfriendly
61,1.7,This place sucks!
62,9.8,I love this restaurant!
63,3.2,The food was really bad
64,0.0,This is the worst restaurant I've ever been to
65,1.2,This place sucks!
66,4.1,The food was bland and the servers were unfriendly
67,2.5,Service was exceedingly poor
68,3.2,The food was really bad
69,8.5,Food and service were great!
70,2.1,Service was exceedingly poor
71,6.9,Food was pretty good but service was slow
72,0.7,This is the worst restaurant I've ever been to
73,7.5,Service was really good and the food was okay
74,0.9,This is the worst restaurant I've ever been to
75,1.3,This place sucks!
